r0 14s L=1.71 cov=[0.0253, 0.0659] ov=[0.07246, 0.08926] P=8 S=71 arc=0.00 lr=1 w_ov=0.1 iou=[0.874, 0.764] acc=8
r1 25s L=1.542 cov=[0.0228, 0.0229] ov=[0.07174, 0.07769] P=8 S=71 arc=0.00 lr=0.71 w_ov=0.103 iou=[0.919, 0.92] acc=22
r2 37s L=1.217 cov=[0.018, 0.0136] ov=[0.05841, 0.05995] P=7 S=72 arc=0.07 lr=0.5 w_ov=0.105 iou=[0.928, 0.944] acc=17
r3 51s L=1.026 cov=[0.0103, 0.0126] ov=[0.04824, 0.05198] P=6 S=68 arc=0.18 lr=0.18 w_ov=0.107 iou=[0.953, 0.946] acc=16
r4 65s L=0.9588 cov=[0.0094, 0.0122] ov=[0.04443, 0.04915] P=6 S=67 arc=0.34 lr=0.25 w_ov=0.11 iou=[0.957, 0.946] acc=7
r5 78s L=0.9054 cov=[0.009, 0.0117] ov=[0.04135, 0.04699] P=6 S=64 arc=0.42 lr=0.35 w_ov=0.113 iou=[0.958, 0.948] acc=13
r6 93s L=0.9001 cov=[0.0087, 0.0109] ov=[0.04106, 0.04686] P=6 S=63 arc=0.44 lr=0.25 w_ov=0.116 iou=[0.96, 0.95] acc=15
r7 106s L=0.8709 cov=[0.0084, 0.0105] ov=[0.03934, 0.04574] P=6 S=62 arc=0.55 lr=0.25 w_ov=0.12 iou=[0.96, 0.951] acc=9
r8 122s L=0.8493 cov=[0.0083, 0.01] ov=[0.03827, 0.04471] P=6 S=63 arc=0.63 lr=0.25 w_ov=0.123 iou=[0.961, 0.952] acc=5
r9 136s L=0.823 cov=[0.0082, 0.0098] ov=[0.03701, 0.04337] P=6 S=60 arc=0.72 lr=0.18 w_ov=0.126 iou=[0.961, 0.953] acc=6
r10 151s L=0.7952 cov=[0.008, 0.0099] ov=[0.03549, 0.04212] P=6 S=59 arc=0.76 lr=0.25 w_ov=0.13 iou=[0.962, 0.954] acc=2
r11 166s L=0.7683 cov=[0.008, 0.0098] ov=[0.03425, 0.04068] P=6 S=58 arc=0.71 lr=0.25 w_ov=0.134 iou=[0.961, 0.954] acc=4
r12 179s L=0.7438 cov=[0.01, 0.0102] ov=[0.03261, 0.03964] P=6 S=60 arc=0.68 lr=0.35 w_ov=0.137 iou=[0.955, 0.953] acc=8
r13 192s L=0.7149 cov=[0.0107, 0.0097] ov=[0.03152, 0.03781] P=6 S=60 arc=0.73 lr=0.35 w_ov=0.141 iou=[0.952, 0.955] acc=6
r14 207s L=0.679 cov=[0.0084, 0.0092] ov=[0.02985, 0.03616] P=6 S=63 arc=0.78 lr=0.35 w_ov=0.145 iou=[0.959, 0.956] acc=9
r15 222s L=0.642 cov=[0.0087, 0.009] ov=[0.0282, 0.03412] P=6 S=59 arc=0.80 lr=0.35 w_ov=0.149 iou=[0.957, 0.956] acc=7
r16 236s L=0.6241 cov=[0.0089, 0.009] ov=[0.02815, 0.03234] P=6 S=60 arc=0.78 lr=0.35 w_ov=0.153 iou=[0.956, 0.956] acc=8
r17 250s L=0.5205 cov=[0.0082, 0.009] ov=[0.02223, 0.02798] P=6 S=64 arc=0.75 lr=0.35 w_ov=0.157 iou=[0.961, 0.956] acc=9
r18 265s L=0.4508 cov=[0.009, 0.0089] ov=[0.01914, 0.02402] P=6 S=68 arc=0.76 lr=0.35 w_ov=0.162 iou=[0.956, 0.956] acc=9
r19 280s L=0.3905 cov=[0.0076, 0.0087] ov=[0.01689, 0.02041] P=6 S=65 arc=0.75 lr=0.13 w_ov=0.166 iou=[0.963, 0.956] acc=6
r20 295s L=0.3462 cov=[0.0076, 0.0086] ov=[0.01474, 0.01813] P=6 S=62 arc=0.74 lr=0.25 w_ov=0.171 iou=[0.964, 0.957] acc=6
r21 308s L=0.3169 cov=[0.0077, 0.0085] ov=[0.01358, 0.01637] P=6 S=59 arc=0.73 lr=0.5 w_ov=0.176 iou=[0.964, 0.958] acc=11
r22 321s L=0.3056 cov=[0.0081, 0.0077] ov=[0.0136, 0.01526] P=6 S=59 arc=0.75 lr=0.18 w_ov=0.181 iou=[0.962, 0.96] acc=3
r23 334s L=0.2838 cov=[0.0081, 0.0078] ov=[0.01261, 0.01407] P=6 S=59 arc=0.76 lr=0.18 w_ov=0.185 iou=[0.962, 0.961] acc=2
r24 347s L=0.2814 cov=[0.0081, 0.0076] ov=[0.01267, 0.01378] P=6 S=59 arc=0.78 lr=0.18 w_ov=0.19 iou=[0.961, 0.961] acc=1
r25 360s L=0.2651 cov=[0.0079, 0.0077] ov=[0.01191, 0.01293] P=6 S=57 arc=0.81 lr=0.088 w_ov=0.195 iou=[0.961, 0.961] acc=3
r26 373s L=0.254 cov=[0.0079, 0.0076] ov=[0.01131, 0.01241] P=6 S=56 arc=0.80 lr=0.18 w_ov=0.199 iou=[0.962, 0.96] acc=4
r27 385s L=0.2565 cov=[0.0082, 0.0074] ov=[0.01184, 0.01213] P=6 S=56 arc=0.79 lr=0.35 w_ov=0.204 iou=[0.959, 0.96] acc=8
r28 396s L=0.2295 cov=[0.0081, 0.0073] ov=[0.01002, 0.01128] P=6 S=55 arc=0.78 lr=0.18 w_ov=0.209 iou=[0.962, 0.961] acc=5
r29 409s L=0.2204 cov=[0.008, 0.0071] ov=[0.0097, 0.01072] P=6 S=58 arc=0.81 lr=0.35 w_ov=0.214 iou=[0.962, 0.962] acc=8
r30 422s L=0.2108 cov=[0.0079, 0.0069] ov=[0.00914, 0.01034] P=6 S=58 arc=0.86 lr=0.18 w_ov=0.219 iou=[0.963, 0.962] acc=1
