r35 504s L=0.2885 cov=[0.0078, 0.0042] ov=[0.01258, 0.01494] P=6 S=65 arc=0.94 lr=0.18 w_ov=0.257 iou=[0.963, 0.972] acc=0
r36 520s L=0.2839 cov=[0.0079, 0.0043] ov=[0.01236, 0.0147] P=6 S=65 arc=0.94 lr=0.088 w_ov=0.263 iou=[0.963, 0.971] acc=1
r37 533s L=0.2781 cov=[0.0079, 0.0043] ov=[0.01195, 0.01451] P=6 S=65 arc=0.94 lr=0.13 w_ov=0.271 iou=[0.963, 0.972] acc=1
r38 547s L=0.2754 cov=[0.0079, 0.0043] ov=[0.01183, 0.01435] P=6 S=65 arc=0.94 lr=0.18 w_ov=0.278 iou=[0.962, 0.972] acc=2
r39 561s L=0.2737 cov=[0.008, 0.0043] ov=[0.01173, 0.01429] P=6 S=65 arc=0.97 lr=0.25 w_ov=0.286 iou=[0.962, 0.971] acc=0
r40 576s L=0.264 cov=[0.008, 0.0044] ov=[0.01117, 0.01386] P=6 S=65 arc=0.97 lr=0.088 w_ov=0.294 iou=[0.962, 0.971] acc=0
r41 590s L=0.2603 cov=[0.0081, 0.0045] ov=[0.011, 0.01365] P=6 S=65 arc=0.97 lr=0.13 w_ov=0.302 iou=[0.962, 0.97] acc=0
r42 605s L=0.2556 cov=[0.0081, 0.0045] ov=[0.01076, 0.0134] P=6 S=65 arc=0.97 lr=0.18 w_ov=0.31 iou=[0.962, 0.97] acc=1
r43 620s L=0.2516 cov=[0.0082, 0.0046] ov=[0.01063, 0.01313] P=6 S=65 arc=0.98 lr=0.088 w_ov=0.319 iou=[0.962, 0.969] acc=0
r44 635s L=0.2433 cov=[0.0082, 0.0047] ov=[0.01036, 0.01255] P=6 S=65 arc=0.97 lr=0.13 w_ov=0.329 iou=[0.962, 0.969] acc=1
r45 649s L=0.2365 cov=[0.0083, 0.0048] ov=[0.01003, 0.01219] P=6 S=65 arc=0.95 lr=0.18 w_ov=0.338 iou=[0.962, 0.97] acc=1
r46 663s L=0.2308 cov=[0.0084, 0.0049] ov=[0.00973, 0.0119] P=6 S=65 arc=0.95 lr=0.088 w_ov=0.347 iou=[0.962, 0.969] acc=0
r47 678s L=0.2271 cov=[0.0084, 0.0049] ov=[0.00953, 0.01172] P=6 S=65 arc=0.94 lr=0.13 w_ov=0.357 iou=[0.962, 0.969] acc=1
r48 693s L=0.2238 cov=[0.0083, 0.0051] ov=[0.00932, 0.0116] P=6 S=65 arc=0.92 lr=0.18 w_ov=0.368 iou=[0.962, 0.969] acc=3
r49 708s L=0.2216 cov=[0.0083, 0.0051] ov=[0.0092, 0.01148] P=6 S=64 arc=0.95 lr=0.088 w_ov=0.378 iou=[0.962, 0.968] acc=1
r50 721s L=0.2188 cov=[0.0083, 0.0052] ov=[0.009, 0.01141] P=6 S=64 arc=0.95 lr=0.13 w_ov=0.389 iou=[0.962, 0.969] acc=0
r51 734s L=0.2151 cov=[0.0084, 0.0052] ov=[0.00875, 0.01128] P=6 S=64 arc=0.95 lr=0.18 w_ov=0.399 iou=[0.962, 0.968] acc=1
r52 746s L=0.2108 cov=[0.0085, 0.0053] ov=[0.00848, 0.0111] P=6 S=64 arc=0.97 lr=0.088 w_ov=0.409 iou=[0.962, 0.968] acc=0
r53 758s L=0.2067 cov=[0.0085, 0.0053] ov=[0.00823, 0.01093] P=6 S=64 arc=0.97 lr=0.13 w_ov=0.419 iou=[0.961, 0.968] acc=0
r54 772s L=0.2039 cov=[0.0086, 0.0054] ov=[0.00809, 0.01078] P=6 S=64 arc=0.97 lr=0.063 w_ov=0.428 iou=[0.96, 0.968] acc=0
r55 787s L=0.2013 cov=[0.0086, 0.0054] ov=[0.00796, 0.01064] P=6 S=64 arc=0.97 lr=0.13 w_ov=0.44 iou=[0.96, 0.968] acc=1
r56 800s L=0.1987 cov=[0.0087, 0.0055] ov=[0.00784, 0.01049] P=6 S=64 arc=0.98 lr=0.063 w_ov=0.453 iou=[0.96, 0.968] acc=0
r57 815s L=0.1957 cov=[0.0087, 0.0055] ov=[0.00767, 0.01035] P=6 S=64 arc=0.98 lr=0.088 w_ov=0.464 iou=[0.96, 0.968] acc=0
r58 827s L=0.1915 cov=[0.0088, 0.0056] ov=[0.0074, 0.01018] P=6 S=63 arc=0.97 lr=0.13 w_ov=0.478 iou=[0.96, 0.967] acc=2
