r0 11s L=0.5914 cov=[0.0411, 0.052] ov=[0.01941, 0.0303] P=5 S=55 arc=0.00 lr=0.5 w_ov=0.1 iou=[0.794, 0.763] acc=15
r1 20s L=0.6107 cov=[0.0413, 0.045] ov=[0.02371, 0.02862] P=5 S=47 arc=0.09 lr=0.25 w_ov=0.102 iou=[0.8, 0.783] acc=15
r2 29s L=0.6047 cov=[0.0342, 0.0418] ov=[0.02127, 0.03151] P=5 S=46 arc=0.22 lr=0.35 w_ov=0.104 iou=[0.835, 0.791] acc=13
r3 39s L=0.6165 cov=[0.0313, 0.0394] ov=[0.02033, 0.03416] P=5 S=45 arc=0.49 lr=0.5 w_ov=0.106 iou=[0.844, 0.803] acc=14
r4 49s L=0.6091 cov=[0.0297, 0.038] ov=[0.01893, 0.03512] P=5 S=48 arc=0.58 lr=0.5 w_ov=0.108 iou=[0.847, 0.811] acc=14
r5 60s L=0.603 cov=[0.0263, 0.0369] ov=[0.01874, 0.03515] P=5 S=47 arc=0.66 lr=0.18 w_ov=0.11 iou=[0.867, 0.817] acc=10
r6 70s L=0.6054 cov=[0.0245, 0.0366] ov=[0.01805, 0.03629] P=5 S=46 arc=0.78 lr=0.18 w_ov=0.112 iou=[0.873, 0.819] acc=4
r7 80s L=0.6104 cov=[0.0233, 0.0366] ov=[0.01794, 0.03701] P=5 S=47 arc=0.81 lr=0.18 w_ov=0.114 iou=[0.878, 0.82] acc=5
r8 90s L=0.6164 cov=[0.0205, 0.0369] ov=[0.01747, 0.03833] P=5 S=48 arc=0.85 lr=0.25 w_ov=0.116 iou=[0.889, 0.817] acc=3
r9 100s L=0.6184 cov=[0.019, 0.0373] ov=[0.01742, 0.03869] P=5 S=47 arc=0.83 lr=0.25 w_ov=0.119 iou=[0.896, 0.815] acc=3
r10 111s L=0.6171 cov=[0.0178, 0.0378] ov=[0.01701, 0.03904] P=5 S=46 arc=0.83 lr=0.25 w_ov=0.121 iou=[0.898, 0.816] acc=3
r11 120s L=0.6103 cov=[0.0172, 0.0381] ov=[0.01644, 0.03896] P=5 S=46 arc=0.74 lr=0.35 w_ov=0.124 iou=[0.898, 0.819] acc=6
r12 130s L=0.6121 cov=[0.0177, 0.0372] ov=[0.01646, 0.03917] P=5 S=46 arc=0.76 lr=0.35 w_ov=0.126 iou=[0.902, 0.82] acc=4
r13 141s L=0.6147 cov=[0.0183, 0.0366] ov=[0.01649, 0.0394] P=5 S=48 arc=0.79 lr=0.35 w_ov=0.128 iou=[0.896, 0.822] acc=7
r14 151s L=0.6179 cov=[0.0188, 0.0357] ov=[0.01634, 0.0399] P=5 S=53 arc=0.79 lr=0.35 w_ov=0.131 iou=[0.9, 0.823] acc=10
r15 164s L=0.6118 cov=[0.0184, 0.0352] ov=[0.01547, 0.04025] P=5 S=53 arc=0.75 lr=0.35 w_ov=0.134 iou=[0.901, 0.826] acc=9
r16 174s L=0.6031 cov=[0.0179, 0.0348] ov=[0.01464, 0.0403] P=5 S=54 arc=0.80 lr=0.35 w_ov=0.137 iou=[0.899, 0.828] acc=6
r17 186s L=0.6034 cov=[0.0172, 0.0347] ov=[0.0141, 0.04095] P=5 S=53 arc=0.77 lr=0.35 w_ov=0.14 iou=[0.903, 0.829] acc=4
r18 197s L=0.6031 cov=[0.0167, 0.0346] ov=[0.0137, 0.04138] P=5 S=53 arc=0.77 lr=0.35 w_ov=0.143 iou=[0.905, 0.829] acc=6
r19 209s L=0.5962 cov=[0.0167, 0.0345] ov=[0.01294, 0.04144] P=5 S=53 arc=0.74 lr=0.5 w_ov=0.146 iou=[0.901, 0.829] acc=10
r20 221s L=0.5892 cov=[0.0178, 0.0339] ov=[0.01236, 0.04129] P=5 S=52 arc=0.71 lr=0.18 w_ov=0.149 iou=[0.9, 0.831] acc=4
r21 233s L=0.582 cov=[0.017, 0.0337] ov=[0.01226, 0.04076] P=5 S=51 arc=0.75 lr=0.25 w_ov=0.153 iou=[0.902, 0.832] acc=3
