r0 14s L=0.6677 cov=[0.0302, 0.0862] ov=[0.02622, 0.0288] P=4 S=48 arc=0.00 lr=0.25 w_ov=0.1 iou=[0.84, 0.644] acc=14
r1 30s L=0.6525 cov=[0.03, 0.0816] ov=[0.02392, 0.03007] P=4 S=41 arc=0.10 lr=0.35 w_ov=0.103 iou=[0.842, 0.66] acc=14
r2 45s L=0.6536 cov=[0.0317, 0.0769] ov=[0.02258, 0.03184] P=4 S=43 arc=0.33 lr=0.35 w_ov=0.106 iou=[0.838, 0.678] acc=12
r3 57s L=0.6384 cov=[0.0411, 0.0637] ov=[0.02117, 0.03209] P=4 S=39 arc=0.31 lr=0.25 w_ov=0.109 iou=[0.787, 0.716] acc=14
r4 66s L=0.3267 cov=[0.0345, 0.0527] ov=[0.00489, 0.01898] P=4 S=43 arc=0.44 lr=0.25 w_ov=0.112 iou=[0.835, 0.756] acc=13
r5 77s L=0.2984 cov=[0.0347, 0.05] ov=[0.00373, 0.01757] P=4 S=43 arc=0.56 lr=0.18 w_ov=0.113 iou=[0.832, 0.767] acc=7
r6 88s L=0.2859 cov=[0.0351, 0.049] ov=[0.00306, 0.01703] P=4 S=43 arc=0.65 lr=0.088 w_ov=0.116 iou=[0.828, 0.77] acc=3
r7 99s L=0.2793 cov=[0.0356, 0.048] ov=[0.00262, 0.01687] P=4 S=42 arc=0.64 lr=0.13 w_ov=0.118 iou=[0.825, 0.774] acc=3
r8 111s L=0.272 cov=[0.0364, 0.0474] ov=[0.00201, 0.01672] P=4 S=40 arc=0.65 lr=0.18 w_ov=0.121 iou=[0.832, 0.771] acc=10
r9 122s L=0.2719 cov=[0.0356, 0.0476] ov=[0.00225, 0.01654] P=4 S=39 arc=0.74 lr=0.25 w_ov=0.124 iou=[0.821, 0.768] acc=7
r10 133s L=0.2673 cov=[0.0327, 0.0417] ov=[0.00367, 0.01555] P=4 S=39 arc=0.72 lr=0.5 w_ov=0.126 iou=[0.847, 0.794] acc=11
r11 143s L=0.2201 cov=[0.0316, 0.0361] ov=[0.00288, 0.01228] P=4 S=40 arc=0.68 lr=0.18 w_ov=0.129 iou=[0.847, 0.824] acc=6
r12 153s L=0.1961 cov=[0.0298, 0.0333] ov=[0.002, 0.01122] P=4 S=42 arc=0.74 lr=0.18 w_ov=0.131 iou=[0.853, 0.835] acc=4
r13 164s L=0.2012 cov=[0.0341, 0.0304] ov=[0.00121, 0.01238] P=4 S=43 arc=0.65 lr=0.5 w_ov=0.134 iou=[0.823, 0.847] acc=18
r14 175s L=0.2941 cov=[0.0243, 0.0226] ov=[0.00288, 0.02175] P=4 S=45 arc=0.62 lr=0.35 w_ov=0.137 iou=[0.87, 0.881] acc=12
r15 187s L=0.298 cov=[0.0212, 0.0207] ov=[0.00223, 0.02328] P=4 S=42 arc=0.67 lr=0.13 w_ov=0.14 iou=[0.884, 0.887] acc=4
r16 200s L=0.2956 cov=[0.0206, 0.02] ov=[0.00192, 0.02351] P=4 S=39 arc=0.72 lr=0.25 w_ov=0.143 iou=[0.886, 0.889] acc=6
r17 210s L=0.2944 cov=[0.0209, 0.0195] ov=[0.00189, 0.02344] P=4 S=39 arc=0.79 lr=0.13 w_ov=0.147 iou=[0.886, 0.893] acc=1
r18 222s L=0.293 cov=[0.0209, 0.0194] ov=[0.00174, 0.02345] P=4 S=40 arc=0.82 lr=0.18 w_ov=0.15 iou=[0.884, 0.893] acc=2
r19 235s L=0.2922 cov=[0.0209, 0.0194] ov=[0.00164, 0.02347] P=4 S=41 arc=0.83 lr=0.25 w_ov=0.153 iou=[0.883, 0.891] acc=5
r20 247s L=0.2906 cov=[0.0204, 0.0193] ov=[0.00166, 0.02335] P=4 S=40 arc=0.85 lr=0.13 w_ov=0.157 iou=[0.887, 0.894] acc=4
r21 258s L=0.2906 cov=[0.0202, 0.0192] ov=[0.00147, 0.02356] P=4 S=40 arc=0.90 lr=0.18 w_ov=0.161 iou=[0.885, 0.894] acc=0
r22 269s L=0.2895 cov=[0.0201, 0.0191] ov=[0.00142, 0.02353] P=4 S=39 arc=0.90 lr=0.088 w_ov=0.164 iou=[0.888, 0.894] acc=2
r23 281s L=0.2869 cov=[0.0202, 0.0189] ov=[0.0013, 0.0234] P=4 S=39 arc=0.92 lr=0.13 w_ov=0.168 iou=[0.886, 0.895] acc=1
r24 292s L=0.2863 cov=[0.0199, 0.0191] ov=[0.00123, 0.02342] P=4 S=39 arc=0.95 lr=0.18 w_ov=0.171 iou=[0.887, 0.893] acc=1
r25 304s L=0.285 cov=[0.0198, 0.0191] ov=[0.00124, 0.02329] P=4 S=39 arc=0.97 lr=0.088 w_ov=0.175 iou=[0.887, 0.893] acc=0
r26 315s L=0.2838 cov=[0.0199, 0.0191] ov=[0.00126, 0.02313] P=4 S=39 arc=0.97 lr=0.063 w_ov=0.179 iou=[0.889, 0.892] acc=0
r27 326s L=0.2826 cov=[0.0197, 0.0191] ov=[0.00121, 0.02309] P=4 S=39 arc=0.97 lr=0.088 w_ov=0.183 iou=[0.886, 0.892] acc=0
r28 338s L=0.2824 cov=[0.0196, 0.0192] ov=[0.00121, 0.02307] P=4 S=39 arc=0.97 lr=0.044 w_ov=0.187 iou=[0.885, 0.893] acc=0
r29 349s L=0.2821 cov=[0.0196, 0.0192] ov=[0.0012, 0.02304] P=4 S=39 arc=0.97 lr=0.0014 w_ov=0.191 iou=[0.885, 0.893] acc=0
r30 361s L=0.2821 cov=[0.0196, 0.0192] ov=[0.0012, 0.02304] P=4 S=39 arc=0.97 lr=0.0002 w_ov=0.195 iou=[0.885, 0.893] acc=1
r31 372s L=0.282 cov=[0.0196, 0.0192] ov=[0.0012, 0.02304] P=4 S=39 arc=0.97 lr=0.0002 w_ov=0.2 iou=[0.885, 0.892] acc=1
r32 384s L=0.282 cov=[0.0196, 0.0192] ov=[0.0012, 0.02304] P=4 S=39 arc=0.97 lr=0.0002 w_ov=0.204 iou=[0.885, 0.892] acc=0
r33 395s L=0.282 cov=[0.0196, 0.0192] ov=[0.0012, 0.02304] P=4 S=39 arc=0.97 lr=0.0002 w_ov=0.209 iou=[0.885, 0.892] acc=0
r34 407s L=0.282 cov=[0.0196, 0.0192] ov=[0.0012, 0.02304] P=4 S=39 arc=0.95 lr=0.0002 w_ov=0.214 iou=[0.885, 0.892] acc=2
r35 419s L=0.282 cov=[0.0196, 0.0192] ov=[0.0012, 0.02304] P=4 S=39 arc=0.95 lr=0.0002 w_ov=0.218 iou=[0.885, 0.892] acc=1
r36 431s L=0.282 cov=[0.0196, 0.0192] ov=[0.0012, 0.02303] P=4 S=39 arc=1.00 lr=0.0002 w_ov=0.223 iou=[0.885, 0.892] acc=0
r37 442s L=0.2819 cov=[0.0196, 0.0192] ov=[0.0012, 0.02303] P=4 S=39 arc=0.97 lr=0.0002 w_ov=0.229 iou=[0.885, 0.892] acc=0
r38 453s L=0.2819 cov=[0.0196, 0.0192] ov=[0.0012, 0.02303] P=4 S=39 arc=0.97 lr=0.0002 w_ov=0.233 iou=[0.885, 0.892] acc=1
r39 464s L=0.2819 cov=[0.0196, 0.0192] ov=[0.0012, 0.02303] P=4 S=39 arc=0.95 lr=0.0002 w_ov=0.239 iou=[0.885, 0.892] acc=2
r40 476s L=0.2818 cov=[0.0196, 0.0192] ov=[0.0012, 0.02302] P=4 S=39 arc=0.97 lr=0.0002 w_ov=0.244 iou=[0.885, 0.892] acc=0
