r0 11s L=1.194 cov=[0.0172, 0.0223] ov=[0.0441, 0.07125] P=6 S=60 arc=0.00 lr=0.71 w_ov=0.1 iou=[0.921, 0.916] acc=21
r1 22s L=1.159 cov=[0.0152, 0.0175] ov=[0.04346, 0.06903] P=6 S=59 arc=0.17 lr=0.5 w_ov=0.102 iou=[0.935, 0.926] acc=11
r2 35s L=1.128 cov=[0.0157, 0.0159] ov=[0.0424, 0.06711] P=6 S=61 arc=0.33 lr=0.5 w_ov=0.104 iou=[0.932, 0.931] acc=13
r3 46s L=1.116 cov=[0.0153, 0.0151] ov=[0.04157, 0.06691] P=6 S=60 arc=0.52 lr=0.5 w_ov=0.107 iou=[0.935, 0.934] acc=9
r4 58s L=1.083 cov=[0.0153, 0.014] ov=[0.04056, 0.06467] P=6 S=58 arc=0.53 lr=0.35 w_ov=0.109 iou=[0.935, 0.94] acc=9
r5 69s L=1.057 cov=[0.0156, 0.0136] ov=[0.0399, 0.06271] P=6 S=55 arc=0.58 lr=0.5 w_ov=0.112 iou=[0.934, 0.943] acc=11
r6 79s L=1.034 cov=[0.0154, 0.0121] ov=[0.03888, 0.06168] P=6 S=54 arc=0.63 lr=0.35 w_ov=0.114 iou=[0.935, 0.944] acc=2
r7 90s L=0.9861 cov=[0.0153, 0.0115] ov=[0.03685, 0.05896] P=6 S=54 arc=0.63 lr=0.35 w_ov=0.116 iou=[0.934, 0.948] acc=8
r8 99s L=0.9993 cov=[0.0155, 0.0115] ov=[0.03669, 0.06042] P=6 S=55 arc=0.65 lr=0.5 w_ov=0.119 iou=[0.933, 0.948] acc=14
r9 109s L=0.9771 cov=[0.0144, 0.0103] ov=[0.03694, 0.05819] P=6 S=54 arc=0.69 lr=0.35 w_ov=0.121 iou=[0.939, 0.952] acc=6
r10 121s L=0.9535 cov=[0.0131, 0.0099] ov=[0.03662, 0.05632] P=6 S=54 arc=0.74 lr=0.25 w_ov=0.123 iou=[0.941, 0.954] acc=6
r11 133s L=0.9322 cov=[0.0118, 0.0096] ov=[0.03604, 0.05494] P=6 S=53 arc=0.81 lr=0.25 w_ov=0.126 iou=[0.947, 0.955] acc=1
r12 144s L=0.9139 cov=[0.0106, 0.009] ov=[0.03584, 0.05348] P=6 S=53 arc=0.75 lr=0.35 w_ov=0.129 iou=[0.95, 0.957] acc=4
r13 155s L=0.8976 cov=[0.0095, 0.0083] ov=[0.03618, 0.05169] P=6 S=53 arc=0.75 lr=0.35 w_ov=0.132 iou=[0.953, 0.959] acc=6
r14 167s L=0.8478 cov=[0.0086, 0.0071] ov=[0.03463, 0.04847] P=6 S=50 arc=0.84 lr=0.35 w_ov=0.135 iou=[0.957, 0.962] acc=9
r15 177s L=0.8046 cov=[0.0067, 0.0074] ov=[0.03424, 0.04471] P=6 S=57 arc=0.84 lr=0.5 w_ov=0.138 iou=[0.959, 0.961] acc=13
r16 188s L=0.7971 cov=[0.0056, 0.0057] ov=[0.0342, 0.04427] P=6 S=52 arc=0.87 lr=0.18 w_ov=0.141 iou=[0.967, 0.969] acc=4
r17 199s L=0.8176 cov=[0.0051, 0.0052] ov=[0.03539, 0.04523] P=6 S=52 arc=0.83 lr=0.25 w_ov=0.144 iou=[0.968, 0.972] acc=3
r18 210s L=0.7651 cov=[0.0048, 0.0051] ov=[0.03355, 0.04186] P=6 S=51 arc=0.82 lr=0.25 w_ov=0.147 iou=[0.969, 0.972] acc=5
r19 220s L=0.7468 cov=[0.0045, 0.0053] ov=[0.03273, 0.04087] P=6 S=49 arc=0.86 lr=0.25 w_ov=0.15 iou=[0.968, 0.971] acc=5
r20 230s L=0.7394 cov=[0.0044, 0.0051] ov=[0.03241, 0.04048] P=6 S=49 arc=0.90 lr=0.25 w_ov=0.153 iou=[0.971, 0.971] acc=0
r21 241s L=0.7337 cov=[0.0044, 0.005] ov=[0.03207, 0.04027] P=6 S=48 arc=0.85 lr=0.35 w_ov=0.156 iou=[0.971, 0.972] acc=4
r22 250s L=0.7276 cov=[0.0044, 0.0051] ov=[0.03182, 0.03989] P=6 S=46 arc=0.89 lr=0.35 w_ov=0.159 iou=[0.971, 0.973] acc=1
r23 259s L=0.7188 cov=[0.0045, 0.005] ov=[0.03143, 0.0394] P=6 S=46 arc=0.87 lr=0.35 w_ov=0.162 iou=[0.971, 0.973] acc=3
r24 268s L=0.6896 cov=[0.0045, 0.0056] ov=[0.03014, 0.0377] P=6 S=49 arc=0.82 lr=0.35 w_ov=0.164 iou=[0.971, 0.972] acc=8
