r35 552s L=0.5372 cov=[0.0144, 0.0195] ov=[0.01647, 0.03374] P=6 S=64 arc=0.88 lr=0.18 w_ov=0.28 iou=[0.945, 0.934] acc=3
r36 565s L=0.5321 cov=[0.0144, 0.0194] ov=[0.0162, 0.0335] P=6 S=64 arc=0.89 lr=0.18 w_ov=0.288 iou=[0.946, 0.934] acc=1
r37 580s L=0.5239 cov=[0.0146, 0.0193] ov=[0.01562, 0.03326] P=6 S=64 arc=0.89 lr=0.088 w_ov=0.296 iou=[0.945, 0.934] acc=2
r38 594s L=0.5148 cov=[0.0145, 0.0193] ov=[0.01523, 0.03274] P=6 S=69 arc=0.91 lr=0.088 w_ov=0.304 iou=[0.946, 0.934] acc=7
r39 613s L=0.506 cov=[0.0144, 0.0194] ov=[0.01482, 0.03227] P=6 S=68 arc=0.93 lr=0.13 w_ov=0.312 iou=[0.945, 0.934] acc=3
r40 631s L=0.493 cov=[0.0146, 0.0194] ov=[0.01415, 0.03163] P=6 S=67 arc=0.87 lr=0.18 w_ov=0.324 iou=[0.944, 0.934] acc=6
r41 647s L=0.4822 cov=[0.0148, 0.0193] ov=[0.01364, 0.03104] P=6 S=67 arc=0.87 lr=0.18 w_ov=0.335 iou=[0.885, 0.933] acc=2
r42 664s L=0.4687 cov=[0.015, 0.0194] ov=[0.01301, 0.0303] P=6 S=66 arc=0.85 lr=0.18 w_ov=0.346 iou=[0.944, 0.933] acc=4
r43 679s L=0.4556 cov=[0.0151, 0.0191] ov=[0.01238, 0.02962] P=6 S=66 arc=0.86 lr=0.18 w_ov=0.358 iou=[0.944, 0.933] acc=3
r44 695s L=0.4445 cov=[0.0154, 0.019] ov=[0.01189, 0.029] P=6 S=65 arc=0.88 lr=0.18 w_ov=0.368 iou=[0.945, 0.933] acc=4
r45 710s L=0.4366 cov=[0.0152, 0.0191] ov=[0.01152, 0.02859] P=6 S=65 arc=0.88 lr=0.18 w_ov=0.38 iou=[0.945, 0.933] acc=1
r46 725s L=0.4245 cov=[0.0153, 0.019] ov=[0.01086, 0.02804] P=6 S=64 arc=0.88 lr=0.18 w_ov=0.39 iou=[0.944, 0.933] acc=4
r47 741s L=0.4104 cov=[0.0155, 0.0189] ov=[0.01009, 0.02739] P=6 S=64 arc=0.89 lr=0.18 w_ov=0.402 iou=[0.942, 0.933] acc=2
r48 755s L=0.4002 cov=[0.0152, 0.0189] ov=[0.00967, 0.02681] P=6 S=61 arc=0.87 lr=0.088 w_ov=0.414 iou=[0.934, 0.933] acc=5
r49 770s L=0.362 cov=[0.0184, 0.0189] ov=[0.00928, 0.02308] P=6 S=61 arc=0.87 lr=0.088 w_ov=0.426 iou=[0.935, 0.933] acc=4
r50 784s L=0.3599 cov=[0.0174, 0.0189] ov=[0.00939, 0.02285] P=6 S=61 arc=0.90 lr=0.13 w_ov=0.439 iou=[0.937, 0.933] acc=0
r51 799s L=0.3589 cov=[0.0174, 0.0187] ov=[0.00933, 0.02283] P=6 S=61 arc=0.90 lr=0.13 w_ov=0.451 iou=[0.937, 0.934] acc=0
r52 811s L=0.3553 cov=[0.0175, 0.0186] ov=[0.00919, 0.02261] P=6 S=61 arc=0.84 lr=0.18 w_ov=0.463 iou=[0.937, 0.935] acc=5
r53 828s L=0.3523 cov=[0.018, 0.0186] ov=[0.00905, 0.02241] P=6 S=61 arc=0.85 lr=0.088 w_ov=0.475 iou=[0.935, 0.933] acc=1
r54 842s L=0.346 cov=[0.0176, 0.0183] ov=[0.00883, 0.02207] P=6 S=61 arc=0.87 lr=0.13 w_ov=0.49 iou=[0.938, 0.935] acc=1
r55 857s L=0.3449 cov=[0.0176, 0.0181] ov=[0.00879, 0.02201] P=6 S=61 arc=0.87 lr=0.13 w_ov=0.504 iou=[0.936, 0.935] acc=1
r56 871s L=0.3408 cov=[0.0177, 0.0181] ov=[0.00866, 0.02172] P=6 S=61 arc=0.87 lr=0.063 w_ov=0.518 iou=[0.935, 0.936] acc=2
r57 886s L=0.3351 cov=[0.0177, 0.0181] ov=[0.00847, 0.02135] P=6 S=61 arc=0.89 lr=0.063 w_ov=0.532 iou=[0.935, 0.936] acc=4
r58 901s L=0.332 cov=[0.0177, 0.0181] ov=[0.00832, 0.02118] P=6 S=61 arc=0.93 lr=0.088 w_ov=0.547 iou=[0.935, 0.936] acc=1
r59 915s L=0.3283 cov=[0.0177, 0.0182] ov=[0.00811, 0.02101] P=6 S=61 arc=0.90 lr=0.13 w_ov=0.564 iou=[0.936, 0.936] acc=3
r60 930s L=0.3231 cov=[0.0176, 0.0183] ov=[0.00784, 0.02074] P=6 S=62 arc=0.87 lr=0.18 w_ov=0.579 iou=[0.936, 0.935] acc=3
r61 944s L=0.3139 cov=[0.0186, 0.0185] ov=[0.00728, 0.02028] P=6 S=62 arc=0.87 lr=0.088 w_ov=0.596 iou=[0.932, 0.934] acc=3
r62 960s L=0.3022 cov=[0.018, 0.0182] ov=[0.00692, 0.01955] P=6 S=62 arc=0.92 lr=0.088 w_ov=0.613 iou=[0.934, 0.935] acc=1
r63 975s L=0.296 cov=[0.0183, 0.0182] ov=[0.00658, 0.01924] P=6 S=62 arc=0.92 lr=0.13 w_ov=0.631 iou=[0.932, 0.935] acc=1
r64 988s L=0.29 cov=[0.0183, 0.0183] ov=[0.00635, 0.01887] P=6 S=62 arc=0.90 lr=0.13 w_ov=0.65 iou=[0.932, 0.935] acc=2
r65 1002s L=0.2828 cov=[0.0185, 0.0184] ov=[0.00622, 0.01826] P=6 S=62 arc=0.90 lr=0.13 w_ov=0.666 iou=[0.931, 0.934] acc=2
r66 1018s L=0.2754 cov=[0.0185, 0.0186] ov=[0.00597, 0.01774] P=6 S=62 arc=0.94 lr=0.063 w_ov=0.684 iou=[0.931, 0.933] acc=2
r67 1033s L=0.2686 cov=[0.0187, 0.0186] ov=[0.00572, 0.01729] P=6 S=62 arc=0.97 lr=0.088 w_ov=0.705 iou=[0.93, 0.933] acc=0
r68 1048s L=0.2643 cov=[0.019, 0.0187] ov=[0.0055, 0.01705] P=6 S=62 arc=0.94 lr=0.13 w_ov=0.726 iou=[0.929, 0.933] acc=2
r69 1064s L=0.261 cov=[0.0189, 0.0187] ov=[0.00536, 0.01686] P=6 S=62 arc=0.94 lr=0.063 w_ov=0.748 iou=[0.929, 0.933] acc=0
r70 1080s L=0.2562 cov=[0.019, 0.0188] ov=[0.00519, 0.01652] P=6 S=62 arc=0.94 lr=0.088 w_ov=0.77 iou=[0.928, 0.932] acc=0
r71 1096s L=0.2495 cov=[0.0193, 0.019] ov=[0.0049, 0.0161] P=6 S=61 arc=0.90 lr=0.13 w_ov=0.794 iou=[0.928, 0.931] acc=7
r72 1110s L=0.2408 cov=[0.0192, 0.0193] ov=[0.00464, 0.01546] P=6 S=60 arc=0.90 lr=0.13 w_ov=0.82 iou=[0.927, 0.932] acc=3
r73 1124s L=0.2348 cov=[0.0195, 0.0194] ov=[0.00441, 0.01506] P=6 S=60 arc=0.92 lr=0.063 w_ov=0.842 iou=[0.927, 0.931] acc=1
r74 1139s L=0.2267 cov=[0.0196, 0.0194] ov=[0.00411, 0.01454] P=6 S=60 arc=0.93 lr=0.088 w_ov=0.864 iou=[0.927, 0.931] acc=0
r75 1153s L=0.2213 cov=[0.0198, 0.0194] ov=[0.00388, 0.01421] P=6 S=60 arc=0.93 lr=0.088 w_ov=0.891 iou=[0.925, 0.931] acc=0
r76 1168s L=0.2184 cov=[0.02, 0.0195] ov=[0.00381, 0.01396] P=6 S=60 arc=0.93 lr=0.044 w_ov=0.914 iou=[0.924, 0.93] acc=0
r77 1183s L=0.2121 cov=[0.0202, 0.0196] ov=[0.0036, 0.0135] P=6 S=60 arc=0.93 lr=0.063 w_ov=0.94 iou=[0.924, 0.93] acc=0
r78 1197s L=0.2078 cov=[0.0203, 0.0198] ov=[0.00342, 0.01323] P=6 S=60 arc=0.92 lr=0.088 w_ov=0.968 iou=[0.922, 0.929] acc=2
r79 1210s L=0.1974 cov=[0.021, 0.0201] ov=[0.00315, 0.01236] P=6 S=60 arc=0.90 lr=0.13 w_ov=0.995 iou=[0.921, 0.93] acc=3
r80 1225s L=0.1922 cov=[0.0216, 0.0197] ov=[0.00296, 0.01201] P=6 S=60 arc=0.88 lr=0.063 w_ov=1.02 iou=[0.92, 0.928] acc=3
r81 1239s L=0.1871 cov=[0.0219, 0.0198] ov=[0.00282, 0.0116] P=6 S=60 arc=0.92 lr=0.044 w_ov=1.05 iou=[0.919, 0.929] acc=1
r82 1253s L=0.1827 cov=[0.0222, 0.0199] ov=[0.00269, 0.01125] P=6 S=60 arc=0.93 lr=0.063 w_ov=1.08 iou=[0.917, 0.928] acc=1
r83 1267s L=0.1758 cov=[0.0227, 0.0198] ov=[0.00249, 0.01072] P=6 S=60 arc=0.93 lr=0.088 w_ov=1.11 iou=[0.917, 0.927] acc=1
r84 1281s L=0.1626 cov=[0.0233, 0.0203] ov=[0.00188, 0.00989] P=6 S=60 arc=0.90 lr=0.13 w_ov=1.14 iou=[0.915, 0.926] acc=6
r85 1295s L=0.1526 cov=[0.0235, 0.0209] ov=[0.00141, 0.00929] P=6 S=60 arc=0.90 lr=0.063 w_ov=1.17 iou=[0.915, 0.927] acc=1
r86 1310s L=0.1459 cov=[0.0238, 0.0207] ov=[0.00141, 0.00861] P=6 S=60 arc=0.88 lr=0.088 w_ov=1.2 iou=[0.913, 0.927] acc=2
r87 1323s L=0.1416 cov=[0.024, 0.0207] ov=[0.00134, 0.00822] P=6 S=60 arc=0.90 lr=0.044 w_ov=1.23 iou=[0.913, 0.927] acc=2
